"","Name","totalgames","totalxp","totaltime","survivalplayed","survivalxp","survivaltime","survivalkills","brawlers","survivalwins","survivalgold","cagames","catime","cakills","cared","cagreen","cablue","bbgames","bbtime","bbwins","bbgoldlooted","bbgoldstored","bbupgrades","uhcwins","uhckills","uhcdeaths","uhcfalls","uhcgapples","uhcnotchapples","uhcgold","forthehorse","camelotplayed","camelotxp","camelottime","lords","dukes","spartans","castlecaptures","camelotvictories","wizardgames","wizardxp","wizardtime","wizardkills","wizarddeaths","wizardfirst","wizardsecond","wizardthird","wizardtopten","wizardhighest","pjgames","pjxp","pjtime","pjkills","pjdeaths","pjfirst","pjsecond","pjthird","pjtopten","pjhighest","Level"
"1","DjTalica","12,892","3,341,712","46d 12h 58m 52s","11,915","2,367,389","30d 20h 37m 30s","32,406 (1,760*)","892 (82*)","2,363","120,666 (8,077*)","67 (67*)","2d 13h 58m 6s (2d 13h 58m 6s*)","1,304 (1,304*)","12 (12*)","15 (15*)","11 (11*)","5 (5*)","0d 1h 1m 10s (0d 1h 1m 10s*)","4 (4*)","0 (0*)","0 (0*)","45 (45*)","7 (7*)","84 (84*)","22 (22*)","269 (269*)","159 (159*)","0 (0*)","1,199 (1,199*)","0 (0*)","132","94,824","1d 9h 29m 6s","3835","","64","189","69","15","5,129","0d 3h 5m 5s","97 (73*)","139","0","0","0","0","29","78","31,502","0d 11h 16m 0s","1,174","758","5","1","2","1","65",461
"2","lafuller","12,225","694,779","43d 21h 21m 56s","20","375","0d 0h 39m 34s","3 (2*)","0 (0*)","0","0 (0*)","162 (162*)","6d 4h 13m 16s (6d 4h 13m 16s*)","366 (366*)","46 (46*)","42 (42*)","51 (51*)","5 (5*)","0d 0h 57m 16s (0d 0h 57m 16s*)","6 (6*)","14 (14*)","13 (13*)","19 (19*)","1 (1*)","4 (4*)","72 (72*)","146 (146*)","83 (83*)","0 (0*)","1,381 (1,381*)","0 (0*)","16","13,518","0d 3h 16m 54s","71","","2","7","1","0","200","0d 0h 0m 56s","0 (0*)","0","0","0","0","0","0","15","2,855","0d 1h 55m 51s","53","141","0","0","0","0","2",188
"3","Jambingo","11,027","728,694","20d 20h 48m 19s","10,916","666,212","19d 6h 35m 3s","8,943 (123*)","585 (0*)","391","16,608 (471*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","73","34,764","0d 19h 31m 32s","716","3","29","84","18","9","2,975","0d 1h 51m 32s","36 (3*)","109","0","0","0","0","19","7","2,222","0d 1h 4m 38s","38","96","0","0","0","0","2",193
"4","Scotteh","10,754","1,313,491","29d 21h 21m 21s","10,603","1,197,789","26d 20h 36m 52s","18,439 (678*)","630 (13*)","989","53,982 (4,188*)","4 (4*)","0d 4h 16m 26s (0d 4h 16m 26s*)","27 (27*)","0 (0*)","4 (4*)","0 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","1 (1*)","14 (14*)","0 (0*)","0 (0*)","13 (13*)","0 (0*)","25","2,186","0d 5h 28m 55s","27","21","3","12","11","37","12,338","0d 7h 15m 18s","347 (0*)","226","1","1","1","0","50","16","4,015","0d 2h 11m 49s","117","203","0","0","0","0","17",273
"5","TheKid217","10,417","3,315,796","39d 5h 17m 19s","9,798","2,534,950","27d 12h 36m 41s","35,973 (7,278*)","2,066 (1,241*)","3,016","193,896 (52,396*)","65 (65*)","1d 14h 39m 32s (1d 14h 39m 32s*)","835 (835*)","13 (13*)","14 (14*)","21 (21*)","1 (1*)","0d 0h 10m 19s (0d 0h 10m 19s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","17 (17*)","201 (201*)","38 (38*)","618 (618*)","257 (257*)","0 (0*)","1,473 (1,473*)","1 (1*)","87","38,682","0d 20h 31m 9s","736","793","49","65","32","41","24,370","0d 8h 59m 11s","613 (146*)","231","2","3","2","1","61","93","56,532","0d 13h 15m 38s","2,198","766","18","1","2","1","95",459
"6","JcSnow","10,329","1,574,562","30d 22h 52m 22s","9,898","1,286,561","22d 17h 55m 56s","18,278 (71*)","238 (1*)","1,064","49,716 (255*)","235 (235*)","5d 14h 24m 16s (5d 14h 24m 16s*)","3,655 (3,655*)","50 (50*)","48 (48*)","55 (55*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","80","31,661","0d 16h 4m 14s","581","239","21","80","37","7","2,315","0d 1h 16m 23s","55 (0*)","68","0","0","0","0","16","4","1,397","0d 0h 25m 14s","25","36","0","0","0","0","11",303
"7","Scin","10,086","1,280,911","27d 3h 53m 37s","10,003","1,186,459","23d 12h 52m 13s","13,616 (1,148*)","310 (7*)","878","29,767 (4,226*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","1 (1*)","0d 0h 13m 39s (0d 0h 13m 39s*)","1 (1*)","0 (0*)","1 (1*)","12 (12*)","0 (0*)","6 (6*)","4 (4*)","9 (9*)","14 (14*)","0 (0*)","58 (58*)","0 (0*)","9","2,019","0d 2h 0m 8s","121","","1","10","6","0","0","0d 0h 0m 0s","0 (0*)","0","0","0","0","0","0","11","4,347","0d 1h 43m 31s","119","122","0","0","0","0","24",269
"8","ToxLock","9,810","1,311,427","23d 7h 50m 32s","9,807","1,300,175","23d 6h 31m 47s","24,729 (191*)","428 (2*)","1,309","60,201 (491*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","1","796","0d 0h 33m 3s","9","","","1","","0","0","0d 0h 0m 0s","0 (0*)","0","0","0","0","0","0","1","200","0d 0h 7m 3s","5","12","0","0","0","0","0",273
"9","Shellz","9,679","4,942,342","76d 1h 28m 13s","7,402","519,962","15d 10h 5m 42s","5,547 (311*)","229 (3*)","328","10,433 (1,114*)","41 (41*)","1d 9h 53m 39s (1d 9h 53m 39s*)","246 (246*)","3 (3*)","4 (4*)","6 (6*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","4","5,331","0d 1h 17m 12s","2","2","","3","1","17","6,645","0d 3h 41m 24s","80 (0*)","163","0","0","0","0","19","100","32,967","0d 13h 6m 37s","437","974","0","0","0","0","25",570
"10","JustKeepcalm","9,516","1,107,303","23d 21h 37m 20s","9,375","1,031,870","20d 21h 12m 14s","13,362 (9,491*)","1,071 (870*)","1,417","49,900 (41,660*)","66 (66*)","1d 22h 33m 23s (1d 22h 33m 23s*)","1,311 (1,311*)","12 (12*)","14 (14*)","13 (13*)","16 (16*)","0d 3h 8m 11s (0d 3h 8m 11s*)","21 (21*)","4 (4*)","9 (9*)","136 (136*)","0 (0*)","12 (12*)","13 (13*)","129 (129*)","23 (23*)","1 (1*)","244 (244*)","0 (0*)","4","4,350","0d 1h 20m 9s","11","13","","6","1","1","425","0d 0h 16m 44s","5 (4*)","16","0","0","0","0","0","21","4,815","0d 2h 11m 1s","142","179","0","0","0","0","18",247
"11","IceWolfofalaska","9,258","570,659","18d 14h 53m 51s","9,056","385,332","14d 23h 6m 2s","5,549 (10*)","879 (1*)","155","5,015 (64*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","17","15,080","0d 4h 0m 53s","70","1","4","10","6","14","5,795","0d 3h 16m 56s","88 (45*)","186","0","0","0","1","22","46","12,661","0d 7h 20m 51s","248","673","1","0","0","0","15",166
